Year,Age 0,Age 1,Age 2,Age 3,Age 4,Avg. 1-2
1983,0.012187,0.284325503274338,0.99624838089351,1.44324372454201,1.44564721185159,0.640286942083924
1984,0.0133118,0.320243787529537,1.12482707256441,1.62481716450619,1.63365298435858,0.722535430046973
1985,0.0142823,0.342888758139519,1.20179234691119,1.74452508339382,1.73972517192327,0.772340552525353
1986,0.00474636,0.241627880708246,0.845922920885714,1.21830464138578,1.21167954572088,0.54377540079698
1987,0.00822168,0.179025995359901,0.636235291142953,0.923137765136173,0.920508234200203,0.407630643251427
1988,0.00477271,0.261367444578465,0.916752128874107,1.31343627738408,1.31090863585245,0.589059786726286
1989,0.00117318,0.822960632759142,1.05914747531754,1.0372128598075,1.0350410401977,0.941054054038343
1990,0.00195191,0.824260904724859,1.05696505394807,1.03183312936606,1.03245931396885,0.940612979336466
1991,0.00526425,0.551307397431494,0.716108859150279,0.705032000510775,0.706392086064197,0.633708128290887
1992,0.00329714,0.827935161914595,1.07032680882174,1.04715807104368,1.0499137801982,0.949130985368168
1993,0.00149161,0.364553184155405,0.469792482854954,0.464360280370825,0.464397235211365,0.417172833505179
1994,0.00111488,0.301279630861644,0.386110504831953,0.378520042216061,0.378078845989168,0.343695067846798
1995,0.00225604,0.566314562552813,0.722586985318635,0.707900981452354,0.706452775364928,0.644450773935724
1996,0.00259331,0.530084239360513,0.674913499269827,0.659826556240413,0.659596301555902,0.60249886931517
1997,0.00513522,0.50021177887834,0.638580506190008,0.626954212871746,0.628858188062488,0.569396142534174
1998,0.00212831,0.653951936366836,0.81755560704606,0.798800323245734,0.799230541252661,0.735753771706448
1999,0.0172328,1.04058019772869,1.08370222636364,1.05209184627123,1.05336050403177,1.06214121204617
2000,0.0161443,0.83209525151572,0.863620211696829,0.842627415270093,0.841526631045428,0.847857731606275
2001,0.0501236,1.26334517533305,1.32964304304958,1.30289373136153,1.30663018168788,1.29649410919131
2002,0.00369713,0.965418039977659,1.01540501199385,0.965326848796699,0.96045790735167,0.990411525985754
2003,0.0151047,0.803329403005232,0.847597540599696,0.809973956760644,0.812772640164047,0.825463471802464
2004,0.00767416,0.845146671694427,0.881020804707622,0.838207469569962,0.838978865548674,0.863083738201024
2005,0.000521921,0.956891222536588,1.33473777401565,1.33681414447179,1.33387792566231,1.14581449827612
2006,0.000749408,1.16850686446087,1.62993139413801,1.62588594483799,1.62144630927517,1.39921912929944
2007,0,0.441374043085645,0.61829929179188,0.616559143125738,0.612976480105905,0.529836667438763
2008,0.000357672,0.823830417908249,1.14939822155269,1.13697590746774,1.13538779734777,0.986614319730467
2009,0.000731824,1.01518768835686,1.42340002774247,1.41719493624034,1.41029491576545,1.21929385804967
2010,0.000722551,0.385858847694944,0.944013966064251,1.40668775925654,1.39481081285869,0.664936406879598
2011,0.000506179,0.435067861837084,1.04304993871761,1.56309821093823,1.54548516109605,0.739058900277348
2012,0,0.081581979165024,0.198251673665457,0.298845334607963,0.295895612266128,0.139916826415241
2013,0,0.494302620122606,1.19158895250079,1.78153504317239,1.77380893152484,0.842945786311696
2014,0.000443315,0.287634712031004,0.701974043523191,1.06017865291756,1.05813477921035,0.494804377777097
2015,0,0.272300831054294,0.66219746418481,1.00185207534857,0.995335870976385,0.467249147619552
2016,0,0.019224006019541,0.0470247629727091,0.071633477862379,0.0710858840902082,0.0331243844961251
2017,0.000275733,0.36652555466568,0.891677383614733,1.34765319965019,1.33968995677675,0.629101469140207
2018,0.00173599,0.413367541931116,1.01594671957839,1.54273994387618,1.53527389039198,0.714657130754751
2019,NA,-1,-1,-1,-1,-1
arith. mean,NA,0.526592100776215,0.843414766932292,0.993076706899377,0.990804674295943,0.685003433854253
