Year Quarter Species.n Age M1 M2 M F Z N N.bar C.hat C.obs west weca Yield CWsum prop.landed propmat BIO SSB Lsea ration
1983 1 1 1 0 0 0.395819 0.188056 0.583875 1.39914e+07 1.0598e+07 1.99302e+06 1.84599e+06 0.0048618 0.0048618 8974.82 8974.82 1 0.021 68023.2 1428.49 0 0 
1983 1 1 2 0 0 0.352847 0.68907 1.04192 5.30356e+07 3.29449e+07 2.27013e+07 2.89709e+07 0.00973705 0.00973705 282091 282091 1 0.801 516410 413645 0 0 
1983 1 1 3 0 0 0.295101 1.00822 1.30332 3.17245e+06 1.77295e+06 1.78752e+06 772469 0.0171762 0.0171762 13268.1 13268.1 1 0.988 54490.5 53836.7 0 0 
1983 1 1 4 0 0 0.269117 1.00822 1.27733 206199 116426 117383 320070 0.0205468 0.0205468 6576.43 6576.43 1 1 4236.74 4236.74 0 0 
1983 2 1 0 0 0 0.511974 0.0121849 0.524159 3.04327e+08 2.36854e+08 2.88604e+06 1.02226e+07 0.00330879 0.00330879 33824.4 33824.4 1 0 1.00695e+06 0 0 0 
1983 2 1 1 0 0 0.480756 0.0622425 0.542999 7.80344e+06 6.0214e+06 374787 263866 0.00401463 0.00401463 1059.32 1059.32 1 0.021 31327.9 657.886 0 0 
1983 2 1 2 0 0 0.388363 0.228067 0.61643 1.87098e+07 1.39658e+07 3.18515e+06 3.08503e+06 0.00828264 0.00828264 25552.2 25552.2 1 0.801 154966 124128 0 0 
1983 2 1 3 0 0 0.355307 0.333698 0.689005 861729 622747 207809 564013 0.0131614 0.0131614 7423.22 7423.22 1 0.988 11341.6 11205.5 0 0 
1983 2 1 4 0 0 0.351067 0.333698 0.684764 57484.1 41620.3 13888.6 2198.88 0.0115649 0.0115649 25.4297 25.4297 1 1 664.795 664.795 0 0 
1984 1 1 1 0 0 0.400692 0.214764 0.615456 1.80177e+08 1.34552e+08 2.88969e+07 4.71171e+07 0.00546153 0.00546153 257331 257331 1 0.021 984044 20664.9 0 0 
1984 1 1 2 0 0 0.359702 0.786934 1.14664 4.53382e+06 2.69781e+06 2.123e+06 1.70111e+06 0.0101074 0.0101074 17193.7 17193.7 1 0.801 45825.1 36705.9 0 0 
1984 1 1 3 0 0 0.274046 1.15141 1.42545 1.01008e+07 5.38256e+06 6.19751e+06 1.00025e+07 0.0140566 0.0140566 140600 140600 1 0.988 141983 140279 0 0 
1984 1 1 4 0 0 0.255654 1.15141 1.40706 461637 247750 285261 333197 0.0134165 0.0134165 4470.32 4470.32 1 1 6193.53 6193.53 0 0 
1984 2 1 0 0 0 0.501684 0.0133095 0.514993 7.66184e+07 5.98815e+07 796991 0 0.00368394 0.00368394 0 0 1 0 282258 0 0 0 
1984 2 1 1 0 0 0.466168 0.067987 0.534155 9.73669e+07 7.54348e+07 5.12859e+06 9.24129e+06 0.00732208 0.00732208 67665.4 67665.4 1 0.021 712928 14971.5 0 0 
1984 2 1 2 0 0 0.386275 0.249116 0.635391 1.44041e+06 1.06609e+06 265581 89838.4 0.0128095 0.0128095 1150.78 1150.78 1 0.801 18450.9 14779.2 0 0 
1984 2 1 3 0 0 0.336395 0.364496 0.700891 2.42823e+06 1.74561e+06 636267 566198 0.0168425 0.0168425 9536.16 9536.16 1 0.988 40897.4 40406.6 0 0 
1984 2 1 4 0 0 0.34811 0.364496 0.712605 113037 80841.1 29466.2 42957.7 0.0157961 0.0157961 678.564 678.564 1 1 1785.55 1785.55 0 0 
