 par parNo species year quarter area age predator prey fleet
avg_log_F 104 1 1983 -1 -1 -1 -1 -1 -1
avg_log_F 105 1 1984 -1 -1 -1 -1 -1 -1
avg_log_F 106 1 1985 -1 -1 -1 -1 -1 -1
avg_log_F 107 1 1986 -1 -1 -1 -1 -1 -1
avg_log_F 108 1 1987 -1 -1 -1 -1 -1 -1
avg_log_F 109 1 1988 -1 -1 -1 -1 -1 -1
avg_log_F 110 1 1989 -1 -1 -1 -1 -1 -1
avg_log_F 111 1 1990 -1 -1 -1 -1 -1 -1
avg_log_F 112 1 1991 -1 -1 -1 -1 -1 -1
avg_log_F 113 1 1992 -1 -1 -1 -1 -1 -1
avg_log_F 114 1 1993 -1 -1 -1 -1 -1 -1
avg_log_F 115 1 1994 -1 -1 -1 -1 -1 -1
avg_log_F 116 1 1995 -1 -1 -1 -1 -1 -1
avg_log_F 117 1 1996 -1 -1 -1 -1 -1 -1
avg_log_F 118 1 1997 -1 -1 -1 -1 -1 -1
avg_log_F 119 1 1998 -1 -1 -1 -1 -1 -1
avg_log_F 120 1 1999 -1 -1 -1 -1 -1 -1
avg_log_F 121 1 2000 -1 -1 -1 -1 -1 -1
avg_log_F 122 1 2001 -1 -1 -1 -1 -1 -1
avg_log_F 123 1 2002 -1 -1 -1 -1 -1 -1
avg_log_F 124 1 2003 -1 -1 -1 -1 -1 -1
avg_log_F 125 1 2004 -1 -1 -1 -1 -1 -1
avg_log_F 126 1 2005 -1 -1 -1 -1 -1 -1
avg_log_F 127 1 2006 -1 -1 -1 -1 -1 -1
avg_log_F 128 1 2007 -1 -1 -1 -1 -1 -1
avg_log_F 129 1 2008 -1 -1 -1 -1 -1 -1
avg_log_F 130 1 2009 -1 -1 -1 -1 -1 -1
avg_log_F 131 1 2010 -1 -1 -1 -1 -1 -1
avg_log_F 132 1 2011 -1 -1 -1 -1 -1 -1
avg_log_F 133 1 2012 -1 -1 -1 -1 -1 -1
avg_log_F 134 1 2013 -1 -1 -1 -1 -1 -1
avg_sumF 135 1 1983 -1 -1 -1 -1 -1 -1
avg_sumF 136 1 1984 -1 -1 -1 -1 -1 -1
avg_sumF 137 1 1985 -1 -1 -1 -1 -1 -1
avg_sumF 138 1 1986 -1 -1 -1 -1 -1 -1
avg_sumF 139 1 1987 -1 -1 -1 -1 -1 -1
avg_sumF 140 1 1988 -1 -1 -1 -1 -1 -1
avg_sumF 141 1 1989 -1 -1 -1 -1 -1 -1
avg_sumF 142 1 1990 -1 -1 -1 -1 -1 -1
avg_sumF 143 1 1991 -1 -1 -1 -1 -1 -1
avg_sumF 144 1 1992 -1 -1 -1 -1 -1 -1
avg_sumF 145 1 1993 -1 -1 -1 -1 -1 -1
avg_sumF 146 1 1994 -1 -1 -1 -1 -1 -1
avg_sumF 147 1 1995 -1 -1 -1 -1 -1 -1
avg_sumF 148 1 1996 -1 -1 -1 -1 -1 -1
avg_sumF 149 1 1997 -1 -1 -1 -1 -1 -1
avg_sumF 150 1 1998 -1 -1 -1 -1 -1 -1
avg_sumF 151 1 1999 -1 -1 -1 -1 -1 -1
avg_sumF 152 1 2000 -1 -1 -1 -1 -1 -1
avg_sumF 153 1 2001 -1 -1 -1 -1 -1 -1
avg_sumF 154 1 2002 -1 -1 -1 -1 -1 -1
avg_sumF 155 1 2003 -1 -1 -1 -1 -1 -1
avg_sumF 156 1 2004 -1 -1 -1 -1 -1 -1
avg_sumF 157 1 2005 -1 -1 -1 -1 -1 -1
avg_sumF 158 1 2006 -1 -1 -1 -1 -1 -1
avg_sumF 159 1 2007 -1 -1 -1 -1 -1 -1
avg_sumF 160 1 2008 -1 -1 -1 -1 -1 -1
avg_sumF 161 1 2009 -1 -1 -1 -1 -1 -1
avg_sumF 162 1 2010 -1 -1 -1 -1 -1 -1
avg_sumF 163 1 2011 -1 -1 -1 -1 -1 -1
avg_sumF 164 1 2012 -1 -1 -1 -1 -1 -1
avg_sumF 165 1 2013 -1 -1 -1 -1 -1 -1
avg_log_sumF 166 1 1983 -1 -1 -1 -1 -1 -1
avg_log_sumF 167 1 1984 -1 -1 -1 -1 -1 -1
avg_log_sumF 168 1 1985 -1 -1 -1 -1 -1 -1
avg_log_sumF 169 1 1986 -1 -1 -1 -1 -1 -1
avg_log_sumF 170 1 1987 -1 -1 -1 -1 -1 -1
avg_log_sumF 171 1 1988 -1 -1 -1 -1 -1 -1
avg_log_sumF 172 1 1989 -1 -1 -1 -1 -1 -1
avg_log_sumF 173 1 1990 -1 -1 -1 -1 -1 -1
avg_log_sumF 174 1 1991 -1 -1 -1 -1 -1 -1
avg_log_sumF 175 1 1992 -1 -1 -1 -1 -1 -1
avg_log_sumF 176 1 1993 -1 -1 -1 -1 -1 -1
avg_log_sumF 177 1 1994 -1 -1 -1 -1 -1 -1
avg_log_sumF 178 1 1995 -1 -1 -1 -1 -1 -1
avg_log_sumF 179 1 1996 -1 -1 -1 -1 -1 -1
avg_log_sumF 180 1 1997 -1 -1 -1 -1 -1 -1
avg_log_sumF 181 1 1998 -1 -1 -1 -1 -1 -1
avg_log_sumF 182 1 1999 -1 -1 -1 -1 -1 -1
avg_log_sumF 183 1 2000 -1 -1 -1 -1 -1 -1
avg_log_sumF 184 1 2001 -1 -1 -1 -1 -1 -1
avg_log_sumF 185 1 2002 -1 -1 -1 -1 -1 -1
avg_log_sumF 186 1 2003 -1 -1 -1 -1 -1 -1
avg_log_sumF 187 1 2004 -1 -1 -1 -1 -1 -1
avg_log_sumF 188 1 2005 -1 -1 -1 -1 -1 -1
avg_log_sumF 189 1 2006 -1 -1 -1 -1 -1 -1
avg_log_sumF 190 1 2007 -1 -1 -1 -1 -1 -1
avg_log_sumF 191 1 2008 -1 -1 -1 -1 -1 -1
avg_log_sumF 192 1 2009 -1 -1 -1 -1 -1 -1
avg_log_sumF 193 1 2010 -1 -1 -1 -1 -1 -1
avg_log_sumF 194 1 2011 -1 -1 -1 -1 -1 -1
avg_log_sumF 195 1 2012 -1 -1 -1 -1 -1 -1
avg_log_sumF 196 1 2013 -1 -1 -1 -1 -1 -1
hist_SSB 197 1 1983 -1 -1 -1 -1 -1 -1
hist_SSB 198 1 1984 -1 -1 -1 -1 -1 -1
hist_SSB 199 1 1985 -1 -1 -1 -1 -1 -1
hist_SSB 200 1 1986 -1 -1 -1 -1 -1 -1
hist_SSB 201 1 1987 -1 -1 -1 -1 -1 -1
hist_SSB 202 1 1988 -1 -1 -1 -1 -1 -1
hist_SSB 203 1 1989 -1 -1 -1 -1 -1 -1
hist_SSB 204 1 1990 -1 -1 -1 -1 -1 -1
hist_SSB 205 1 1991 -1 -1 -1 -1 -1 -1
hist_SSB 206 1 1992 -1 -1 -1 -1 -1 -1
hist_SSB 207 1 1993 -1 -1 -1 -1 -1 -1
hist_SSB 208 1 1994 -1 -1 -1 -1 -1 -1
hist_SSB 209 1 1995 -1 -1 -1 -1 -1 -1
hist_SSB 210 1 1996 -1 -1 -1 -1 -1 -1
hist_SSB 211 1 1997 -1 -1 -1 -1 -1 -1
hist_SSB 212 1 1998 -1 -1 -1 -1 -1 -1
hist_SSB 213 1 1999 -1 -1 -1 -1 -1 -1
hist_SSB 214 1 2000 -1 -1 -1 -1 -1 -1
hist_SSB 215 1 2001 -1 -1 -1 -1 -1 -1
hist_SSB 216 1 2002 -1 -1 -1 -1 -1 -1
hist_SSB 217 1 2003 -1 -1 -1 -1 -1 -1
hist_SSB 218 1 2004 -1 -1 -1 -1 -1 -1
hist_SSB 219 1 2005 -1 -1 -1 -1 -1 -1
hist_SSB 220 1 2006 -1 -1 -1 -1 -1 -1
hist_SSB 221 1 2007 -1 -1 -1 -1 -1 -1
hist_SSB 222 1 2008 -1 -1 -1 -1 -1 -1
hist_SSB 223 1 2009 -1 -1 -1 -1 -1 -1
hist_SSB 224 1 2010 -1 -1 -1 -1 -1 -1
hist_SSB 225 1 2011 -1 -1 -1 -1 -1 -1
hist_SSB 226 1 2012 -1 -1 -1 -1 -1 -1
hist_SSB 227 1 2013 -1 -1 -1 -1 -1 -1
hist_log_SSB 228 1 1983 -1 -1 -1 -1 -1 -1
hist_log_SSB 229 1 1984 -1 -1 -1 -1 -1 -1
hist_log_SSB 230 1 1985 -1 -1 -1 -1 -1 -1
hist_log_SSB 231 1 1986 -1 -1 -1 -1 -1 -1
hist_log_SSB 232 1 1987 -1 -1 -1 -1 -1 -1
hist_log_SSB 233 1 1988 -1 -1 -1 -1 -1 -1
hist_log_SSB 234 1 1989 -1 -1 -1 -1 -1 -1
hist_log_SSB 235 1 1990 -1 -1 -1 -1 -1 -1
hist_log_SSB 236 1 1991 -1 -1 -1 -1 -1 -1
hist_log_SSB 237 1 1992 -1 -1 -1 -1 -1 -1
hist_log_SSB 238 1 1993 -1 -1 -1 -1 -1 -1
hist_log_SSB 239 1 1994 -1 -1 -1 -1 -1 -1
hist_log_SSB 240 1 1995 -1 -1 -1 -1 -1 -1
hist_log_SSB 241 1 1996 -1 -1 -1 -1 -1 -1
hist_log_SSB 242 1 1997 -1 -1 -1 -1 -1 -1
hist_log_SSB 243 1 1998 -1 -1 -1 -1 -1 -1
hist_log_SSB 244 1 1999 -1 -1 -1 -1 -1 -1
hist_log_SSB 245 1 2000 -1 -1 -1 -1 -1 -1
hist_log_SSB 246 1 2001 -1 -1 -1 -1 -1 -1
hist_log_SSB 247 1 2002 -1 -1 -1 -1 -1 -1
hist_log_SSB 248 1 2003 -1 -1 -1 -1 -1 -1
hist_log_SSB 249 1 2004 -1 -1 -1 -1 -1 -1
hist_log_SSB 250 1 2005 -1 -1 -1 -1 -1 -1
hist_log_SSB 251 1 2006 -1 -1 -1 -1 -1 -1
hist_log_SSB 252 1 2007 -1 -1 -1 -1 -1 -1
hist_log_SSB 253 1 2008 -1 -1 -1 -1 -1 -1
hist_log_SSB 254 1 2009 -1 -1 -1 -1 -1 -1
hist_log_SSB 255 1 2010 -1 -1 -1 -1 -1 -1
hist_log_SSB 256 1 2011 -1 -1 -1 -1 -1 -1
hist_log_SSB 257 1 2012 -1 -1 -1 -1 -1 -1
hist_log_SSB 258 1 2013 -1 -1 -1 -1 -1 -1
term_N_next 259 1 2014 1 -1 0  -1 -1 -1
term_N_next 260 1 2014 1 -1 1  -1 -1 -1
term_N_next 261 1 2014 1 -1 2  -1 -1 -1
term_N_next 262 1 2014 1 -1 3  -1 -1 -1
term_N_next 263 1 2014 1 -1 4  -1 -1 -1
term_logN_next 264 1 2014 1 -1 0  -1 -1 -1
term_logN_next 265 1 2014 1 -1 1  -1 -1 -1
term_logN_next 266 1 2014 1 -1 2  -1 -1 -1
term_logN_next 267 1 2014 1 -1 3  -1 -1 -1
term_logN_next 268 1 2014 1 -1 4  -1 -1 -1
next_SSB 269 1 2014 1 -1 -1 -1 -1 -1
next_log_SSB 270 1 2014 1 -1 -1 -1 -1 -1
rec_sd 271 1 1983 2 -1 0 -1 -1 -1
rec_sd 272 1 1984 2 -1 0 -1 -1 -1
rec_sd 273 1 1985 2 -1 0 -1 -1 -1
rec_sd 274 1 1986 2 -1 0 -1 -1 -1
rec_sd 275 1 1987 2 -1 0 -1 -1 -1
rec_sd 276 1 1988 2 -1 0 -1 -1 -1
rec_sd 277 1 1989 2 -1 0 -1 -1 -1
rec_sd 278 1 1990 2 -1 0 -1 -1 -1
rec_sd 279 1 1991 2 -1 0 -1 -1 -1
rec_sd 280 1 1992 2 -1 0 -1 -1 -1
rec_sd 281 1 1993 2 -1 0 -1 -1 -1
rec_sd 282 1 1994 2 -1 0 -1 -1 -1
rec_sd 283 1 1995 2 -1 0 -1 -1 -1
rec_sd 284 1 1996 2 -1 0 -1 -1 -1
rec_sd 285 1 1997 2 -1 0 -1 -1 -1
rec_sd 286 1 1998 2 -1 0 -1 -1 -1
rec_sd 287 1 1999 2 -1 0 -1 -1 -1
rec_sd 288 1 2000 2 -1 0 -1 -1 -1
rec_sd 289 1 2001 2 -1 0 -1 -1 -1
rec_sd 290 1 2002 2 -1 0 -1 -1 -1
rec_sd 291 1 2003 2 -1 0 -1 -1 -1
rec_sd 292 1 2004 2 -1 0 -1 -1 -1
rec_sd 293 1 2005 2 -1 0 -1 -1 -1
rec_sd 294 1 2006 2 -1 0 -1 -1 -1
rec_sd 295 1 2007 2 -1 0 -1 -1 -1
rec_sd 296 1 2008 2 -1 0 -1 -1 -1
rec_sd 297 1 2009 2 -1 0 -1 -1 -1
rec_sd 298 1 2010 2 -1 0 -1 -1 -1
rec_sd 299 1 2011 2 -1 0 -1 -1 -1
rec_sd 300 1 2012 2 -1 0 -1 -1 -1
rec_sd 301 1 2013 2 -1 0 -1 -1 -1
log_recsd 302 1 1983 2 -1 0 -1 -1 -1
log_recsd 303 1 1984 2 -1 0 -1 -1 -1
log_recsd 304 1 1985 2 -1 0 -1 -1 -1
log_recsd 305 1 1986 2 -1 0 -1 -1 -1
log_recsd 306 1 1987 2 -1 0 -1 -1 -1
log_recsd 307 1 1988 2 -1 0 -1 -1 -1
log_recsd 308 1 1989 2 -1 0 -1 -1 -1
log_recsd 309 1 1990 2 -1 0 -1 -1 -1
log_recsd 310 1 1991 2 -1 0 -1 -1 -1
log_recsd 311 1 1992 2 -1 0 -1 -1 -1
log_recsd 312 1 1993 2 -1 0 -1 -1 -1
log_recsd 313 1 1994 2 -1 0 -1 -1 -1
log_recsd 314 1 1995 2 -1 0 -1 -1 -1
log_recsd 315 1 1996 2 -1 0 -1 -1 -1
log_recsd 316 1 1997 2 -1 0 -1 -1 -1
log_recsd 317 1 1998 2 -1 0 -1 -1 -1
log_recsd 318 1 1999 2 -1 0 -1 -1 -1
log_recsd 319 1 2000 2 -1 0 -1 -1 -1
log_recsd 320 1 2001 2 -1 0 -1 -1 -1
log_recsd 321 1 2002 2 -1 0 -1 -1 -1
log_recsd 322 1 2003 2 -1 0 -1 -1 -1
log_recsd 323 1 2004 2 -1 0 -1 -1 -1
log_recsd 324 1 2005 2 -1 0 -1 -1 -1
log_recsd 325 1 2006 2 -1 0 -1 -1 -1
log_recsd 326 1 2007 2 -1 0 -1 -1 -1
log_recsd 327 1 2008 2 -1 0 -1 -1 -1
log_recsd 328 1 2009 2 -1 0 -1 -1 -1
log_recsd 329 1 2010 2 -1 0 -1 -1 -1
log_recsd 330 1 2011 2 -1 0 -1 -1 -1
log_recsd 331 1 2012 2 -1 0 -1 -1 -1
log_recsd 332 1 2013 2 -1 0 -1 -1 -1
GMminOne 333 1 2014 1 -1 0  -1 -1 -1
