Year Quarter Species.n Age M1 M2 M F Z N N.bar C.hat C.obs west weca Yield CWsum prop.landed propmat BIO SSB Lsea ration
1983 1 1 1 0 0 0.395819 0.187229 0.583048 1.42704e+07 1.08134e+07 2.02458e+06 1.84599e+06 0.0048618 0.0048618 8974.82 8974.82 1 0.021 69379.8 1456.98 0 0 
1983 1 1 2 0 0 0.352847 0.693692 1.04654 5.1087e+07 3.16737e+07 2.19718e+07 2.89709e+07 0.00973705 0.00973705 282091 282091 1 0.801 497437 398447 0 0 
1983 1 1 3 0 0 0.295101 1.0281 1.3232 2.99226e+06 1.65921e+06 1.70584e+06 772469 0.0171762 0.0171762 13268.1 13268.1 1 0.988 51395.5 50778.8 0 0 
1983 1 1 4 0 0 0.269117 1.0281 1.29722 237704 133163 136906 320070 0.0205468 0.0205468 6576.43 6576.43 1 1 4884.07 4884.07 0 0 
1983 2 1 0 0 0 0.511974 0.0122244 0.524198 2.9096e+08 2.26447e+08 2.76818e+06 1.02226e+07 0.00330879 0.00330879 33824.4 33824.4 1 0 962724 0 0 0 
1983 2 1 1 0 0 0.480756 0.0630703 0.543827 7.96566e+06 6.14426e+06 387520 263866 0.00401463 0.00401463 1059.32 1059.32 1 0.021 31979.2 671.562 0 0 
1983 2 1 2 0 0 0.388363 0.233679 0.622042 1.79392e+07 1.3357e+07 3.12125e+06 3.08503e+06 0.00828264 0.00828264 25552.2 25552.2 1 0.801 148584 119016 0 0 
1983 2 1 3 0 0 0.355307 0.346329 0.701637 796780 572601 198308 564013 0.0131614 0.0131614 7423.22 7423.22 1 0.988 10486.8 10360.9 0 0 
1983 2 1 4 0 0 0.351067 0.346329 0.697396 64962.4 46772.4 16198.7 2198.88 0.0115649 0.0115649 25.4297 25.4297 1 1 751.28 751.28 0 0 
1984 1 1 1 0 0 0.400692 0.213819 0.614511 1.72257e+08 1.28691e+08 2.75167e+07 4.71171e+07 0.00546153 0.00546153 257331 257331 1 0.021 940786 19756.5 0 0 
1984 1 1 2 0 0 0.359702 0.792212 1.15191 4.62424e+06 2.74572e+06 2.1752e+06 1.70111e+06 0.0101074 0.0101074 17193.7 17193.7 1 0.801 46739 37437.9 0 0 
1984 1 1 3 0 0 0.274046 1.17412 1.44816 9.63063e+06 5.08742e+06 5.97323e+06 1.00025e+07 0.0140566 0.0140566 140600 140600 1 0.988 135373 133749 0 0 
1984 1 1 4 0 0 0.255654 1.17412 1.42977 427366 227358 266945 333197 0.0134165 0.0134165 4470.32 4470.32 1 1 5733.73 5733.73 0 0 
1984 2 1 0 0 0 0.501684 0.0133527 0.515037 7.79735e+07 6.09393e+07 813702 0 0.00368394 0.00368394 0 0 1 0 287250 0 0 0 
1984 2 1 1 0 0 0.466168 0.0688912 0.53506 9.31747e+07 7.21572e+07 4.971e+06 9.24129e+06 0.00732208 0.00732208 67665.4 67665.4 1 0.021 682232 14326.9 0 0 
1984 2 1 2 0 0 0.386275 0.255246 0.64152 1.46141e+06 1.07867e+06 275326 89838.4 0.0128095 0.0128095 1150.78 1150.78 1 0.801 18719.8 14994.6 0 0 
1984 2 1 3 0 0 0.336395 0.378293 0.714688 2.26321e+06 1.6171e+06 611738 566198 0.0168425 0.0168425 9536.16 9536.16 1 0.988 38118.1 37660.7 0 0 
1984 2 1 4 0 0 0.34811 0.378293 0.726403 102296 72715.7 27507.9 42957.7 0.0157961 0.0157961 678.564 678.564 1 1 1615.88 1615.88 0 0 
1985 1 1 1 0 0 0.384902 0.228184 0.613085 4.65875e+07 3.48273e+07 7.94702e+06 6.21684e+06 0.00507786 0.00507786 31568.3 31568.3 1 0.021 236565 4967.86 0 0 
1985 1 1 2 0 0 0.346352 0.845432 1.19178 5.45663e+07 3.18813e+07 2.69535e+07 3.13643e+07 0.00915445 0.00915445 287123 287123 1 0.801 499524 400119 0 0 
1985 1 1 3 0 0 0.29004 1.25299 1.54303 769417 392064 491254 1.98716e+06 0.0163999 0.0163999 32589.2 32589.2 1 0.988 12618.4 12467 0 0 
1985 1 1 4 0 0 0.264157 1.25299 1.51715 1.15697e+06 595328 745942 211484 0.0178896 0.0178896 3783.37 3783.37 1 1 20697.7 20697.7 0 0 
1985 2 1 0 0 0 0.515995 0.0143262 0.530321 5.27474e+08 4.09375e+08 5.86479e+06 8.52406e+06 0.0029841 0.0029841 25436.7 25436.7 1 0 1.57404e+06 0 0 0 
1985 2 1 1 0 0 0.468187 0.0739142 0.542101 2.52354e+07 1.94804e+07 1.43988e+06 1.35357e+06 0.00584444 0.00584444 7910.86 7910.86 1 0.021 147487 3097.22 0 0 
1985 2 1 2 0 0 0.384666 0.273856 0.658522 1.65706e+07 1.21384e+07 3.32418e+06 2.30521e+06 0.0106746 0.0106746 24607.2 24607.2 1 0.801 176885 141685 0 0 
1985 2 1 3 0 0 0.363462 0.405875 0.769337 164449 114718 46561 1.59487e+06 0.0128942 0.0128942 20564.6 20564.6 1 0.988 2120.44 2094.99 0 0 
1985 2 1 4 0 0 0.344414 0.405875 0.750289 253765 178504 72450.2 212744 0.0165975 0.0165975 3531.02 3531.02 1 1 4211.85 4211.85 0 0 
1986 1 1 1 0 0 0.375586 0.17757 0.553156 3.10374e+08 2.38392e+08 4.23312e+07 4.49397e+07 0.00529385 0.00529385 237904 237904 1 0.021 1.64308e+06 34504.6 0 0 
1986 1 1 2 0 0 0.342321 0.657905 1.00023 1.4675e+07 9.2755e+06 6.1024e+06 7.55329e+06 0.0117065 0.0117065 88422.5 88422.5 1 0.801 171793 137606 0 0 
1986 1 1 3 0 0 0.282014 0.975064 1.25708 8.57722e+06 4.88207e+06 4.76033e+06 1.65219e+06 0.0116861 0.0116861 19307.6 19307.6 1 0.988 100234 99031.3 0 0 
1986 1 1 4 0 0 0.267111 0.975064 1.24217 196028 112242 109443 30901.2 0.0135576 0.0135576 418.948 418.948 1 1 2657.67 2657.67 0 0 
1986 2 1 0 0 0 0.531211 0.00476094 0.535972 7.65935e+07 5.92916e+07 282284 87141.1 0.00298063 0.00298063 259.735 259.735 1 0 228297 0 0 0 
1986 2 1 1 0 0 0.477662 0.0245634 0.502225 1.78506e+08 1.4033e+08 3.44699e+06 4.16254e+06 0.00745594 0.00745594 31035.7 31035.7 1 0.021 1.33093e+06 27949.6 0 0 
1986 2 1 2 0 0 0.412134 0.0910089 0.503143 5.39741e+06 4.24132e+06 385998 227967 0.0126971 0.0126971 2894.52 2894.52 1 0.801 68531.3 54893.6 0 0 
1986 2 1 3 0 0 0.379668 0.134882 0.51455 2.44008e+06 1.90745e+06 257280 187509 0.0127752 0.0127752 2395.47 2395.47 1 0.988 31172.6 30798.5 0 0 
1986 2 1 4 0 0 0.360619 0.134882 0.495501 56604.1 44636 6020.59 14004.8 0.0146781 0.0146781 205.564 205.564 1 1 830.839 830.839 0 0 
1987 1 1 1 0 0 0.387399 0.115924 0.503322 4.48149e+07 3.52129e+07 4.082e+06 4.504e+06 0.00715293 0.00715293 32216.8 32216.8 1 0.021 320557 6731.71 0 0 
1987 1 1 2 0 0 0.349411 0.429503 0.778914 1.08029e+08 7.50454e+07 3.22322e+07 2.35717e+07 0.0106181 0.0106181 250288 250288 1 0.801 1.14706e+06 918799 0 0 
1987 1 1 3 0 0 0.286902 0.636555 0.923457 3.26342e+06 2.13045e+06 1.35615e+06 1.19872e+06 0.0184988 0.0184988 22174.9 22174.9 1 0.988 60369.5 59645 0 0 
1987 1 1 4 0 0 0.271239 0.636555 0.907794 1.49309e+06 981237 624612 170802 0.0147187 0.0147187 2513.99 2513.99 1 1 21976.4 21976.4 0 0 
1987 2 1 0 0 0 0.537637 0.00824693 0.545884 4.8763e+07 3.75779e+07 309902 186628 0.00402264 0.00402264 750.735 750.735 1 0 196156 0 0 0 
1987 2 1 1 0 0 0.47658 0.0425489 0.519129 2.70914e+07 2.11334e+07 899205 1.9383e+06 0.00784818 0.00784818 15212.1 15212.1 1 0.021 212618 4464.98 0 0 
1987 2 1 2 0 0 0.418229 0.157646 0.575875 4.95748e+07 3.76874e+07 5.94127e+06 4.17345e+06 0.0112314 0.0112314 46873.8 46873.8 1 0.801 556797 445994 0 0 
1987 2 1 3 0 0 0.381382 0.233643 0.615025 1.29605e+06 968040 226176 122748 0.0201833 0.0201833 2477.46 2477.46 1 0.988 26158.5 25844.6 0 0 
1987 2 1 4 0 0 0.366019 0.233643 0.599662 602334 453012 105843 31939.6 0.0160738 0.0160738 513.391 513.391 1 1 9681.78 9681.78 0 0 
